Country,Continent,Latitude,Longitude,Count,Diversity,Established,Immigrant,TotalNumberSpeakers,TopLanguages,NumberCountries,TopPercentageSpeakers,TopTotalSpeakers,LanguageTree,LanguageTreeParent,TreeSize
Iraq,Asia,33.223191,43.679291,27,0.765,23,4,33977620,,,,,,,
Ireland,Europe,53.41291,-8.24389,13,0.128,5,8,4682020,,,,,,,
Isle of Man,Europe,54.236107,-4.548056,2,0,2,0,88000,,,,,,,
Israel,Asia,31.046051,34.851612,53,0.744,36,17,9475461,,,,,,,
Italy,Europe,41.87194,12.56738,47,0.474,35,12,82319110,,,,,,,
Jamaica,North America,18.109581,-77.297508,8,0.017,4,4,2692540,,,,,,,
Japan,Asia,36.204824,138.252924,19,0.037,15,4,129414863,,,,,,,
Jersey,Europe,49.214439,-2.13125,4,0.119,3,1,99230,,,,,,,
Jordan,Asia,30.585164,36.238414,14,0.498,11,3,7572800,,,,,,,
Kazakhstan,Asia,48.019573,66.923684,48,0.514,13,35,15308820,,,,,,,
Kenya,Africa,-0.023559,37.906193,72,0.927,67,5,37037960,,,,,,,
Kiribati,Oceania,-3.370417,-168.734039,3,0.055,2,1,106000,,,,,,,
Kuwait,Asia,29.31166,47.481766,7,0.451,3,4,3187200,,,,,,,
Kyrgyzstan,Asia,41.20438,74.766098,33,0.459,6,27,5825990,,,,,,,
Laos,Asia,19.85627,102.495496,92,0.708,85,7,6543480,,,,,,,
Latvia,Europe,56.879635,24.603189,16,0.534,8,8,2305130,,,,,,,
Lebanon,Asia,33.854721,35.862285,16,0.232,7,9,6603910,,,,,,,
Lesotho,Africa,-29.609988,28.233608,5,0.315,5,0,2164000,,,,,,,
Liberia,Africa,6.428055,-9.429499,34,0.917,31,3,4290730,,,,,,,
Libya,Africa,26.3351,17.228331,29,0.544,9,20,6322800,,,,,,,
Liechtenstein,Europe,47.166,9.555373,5,0.092,4,1,35910,,,,,,,
Lithuania,Europe,55.169438,23.881275,15,0.416,11,4,3573225,,,,,,,
Luxembourg,Europe,49.815273,6.129583,16,0.594,4,12,499250,,,,,,,
Macedonia,Europe,41.608635,21.745275,15,0.528,10,5,2154380,,,,,,,
Madagascar,Africa,-18.766947,46.869107,20,0.791,14,6,18368000,,,,,,,
Malawi,Africa,-13.254308,34.301525,24,0.691,17,7,13016000,,,,,,,
Malaysia,Asia,4.210484,101.975766,144,0.739,133,11,22242065,,,,,,,
Maldives,Asia,3.202778,73.22068,2,?,2,0,331000,,,,,,,
Mali,Africa,17.570692,-3.996166,71,0.875,68,3,13027840,,,,,,,
Malta,Europe,35.937496,14.375416,8,0.254,4,4,468650,,,,,,,
Marshall Islands,Oceania,7.131474,171.184478,2,0.457,2,0,65700,,,,,,,
Martinique,North America,14.641528,-61.024174,4,0.043,3,1,427330,,,,,,,
Mauritania,Africa,21.00789,-10.940835,8,0.235,7,1,3858400,,,,,,,
Mauritius,Africa,-20.348404,57.552152,14,0.216,7,7,1234660,,,,,,,
Mayotte,Africa,-12.8275,45.166244,5,0.432,3,2,211700,,,,,,,
Mexico,North America,23.634501,-102.552784,292,0.101,287,5,125535200,,,,,,,
Micronesia,Oceania,7.425554,150.550812,19,0.732,18,1,111010,,,,,,,
Moldova,Europe,47.411631,28.369885,14,0.344,10,4,2718530,,,,,,,
Monaco,Europe,43.750298,7.412841,5,0.768,5,0,33850,,,,,,,
Mongolia,Asia,46.862496,103.846656,14,0.274,12,2,3113100,,,,,,,
Montenegro,Europe,42.708678,19.37439,13,0.619,6,7,575330,,,,,,,
Montserrat,North America,16.742498,-62.187366,2,0.05,2,0,3920,,,,,,,
Morocco,Africa,31.791702,-7.09262,15,0.603,14,1,39290920,,,,,,,
Mozambique,Africa,-18.665695,35.529562,47,0.922,43,4,23792100,,,,,,,
Myanmar,Asia,21.913965,95.956223,126,0.57,120,6,49284095,,,,,,,
